prize_year,category,prize,motivation,prize_share,laureate_id,laureate_type,full_name,birth_date,birth_city,birth_country,gender,organization_name,organization_city,organization_country,death_date,death_city,death_country,latitude,longitude,prize_age
1901,Chemistry,The Nobel Prize in Chemistry 1901,"""in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions""",1月1日,160,Individual,Jacobus Henricus van 't Hoff,1852-08-30,Rotterdam,Netherlands,Male,Berlin University,Berlin,Germany,1911/3/1,Berlin,Germany,51.9167,4.5,49
1901,Literature,The Nobel Prize in Literature 1901,"""in special recognition of his poetic composition, which gives evidence of lofty idealism, artistic perfection and a rare combination of the qualities of both heart and intellect""",1月1日,569,Individual,Sully Prudhomme,1839-03-16,Paris,France,Male,NA,NA,NA,1907/9/7,Châtenay,France,48.8567,2.3522,62
1901,Medicine,The Nobel Prize in Physiology or Medicine 1901,"""for his work on serum therapy, especially its application against diphtheria, by which he has opened a new road in the domain of medical science and thereby placed in the hands of the physician a victorious weapon against illness and deaths""",1月1日,293,Individual,Emil Adolf von Behring,1854-03-15,Hansdorf (Lawice),Prussia (Poland),Male,Marburg University,Marburg,Germany,1917/3/31,Marburg,Germany,53.8217,17.6575,47
1901,Peace,The Nobel Peace Prize 1901,NA,1月2日,462,Individual,Jean Henry Dunant,1828-05-08,Geneva,Switzerland,Male,NA,NA,NA,1910/10/30,Heiden,Switzerland,46.2017,6.1469,73
1901,Peace,The Nobel Peace Prize 1901,NA,1月2日,463,Individual,Frédéric Passy,1822-05-20,Paris,France,Male,NA,NA,NA,1912/6/12,Paris,France,48.8567,2.3522,79
1901,Physics,The Nobel Prize in Physics 1901,"""in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him""",1月1日,1,Individual,Wilhelm Conrad Röntgen,1845-03-27,Lennep (Remscheid),Prussia (Germany),Male,Munich University,Munich,Germany,1923/2/10,Munich,Germany,51.1833,7.2,56
1902,Chemistry,The Nobel Prize in Chemistry 1902,"""in recognition of the extraordinary services he has rendered by his work on sugar and purine syntheses""",1月1日,161,Individual,Hermann Emil Fischer,1852-10-09,Euskirchen,Prussia (Germany),Male,Berlin University,Berlin,Germany,1919/7/15,Berlin,Germany,50.6597,6.7917,50
1902,Literature,The Nobel Prize in Literature 1902,"""the greatest living master of the art of historical writing, with special reference to his monumental work, <I>A history of Rome</I>""",1月1日,571,Individual,Christian Matthias Theodor Mommsen,1817-11-30,Garding,Schleswig (Germany),Male,NA,NA,NA,1903/11/1,Charlottenburg,Germany,54.3197,8.8003,85
1902,Medicine,The Nobel Prize in Physiology or Medicine 1902,"""for his work on malaria, by which he has shown how it enters the organism and thereby has laid the foundation for successful research on this disease and methods of combating it""",1月1日,294,Individual,Ronald Ross,1857-05-13,Almora,India,Male,University College,Liverpool,United Kingdom,1932/9/16,Putney Heath,United Kingdom,29.5971,79.6591,45
1902,Peace,The Nobel Peace Prize 1902,NA,1月2日,464,Individual,Élie Ducommun,1833-02-19,Geneva,Switzerland,Male,NA,NA,NA,1906/12/7,Bern,Switzerland,46.2017,6.1469,69
1902,Peace,The Nobel Peace Prize 1902,NA,1月2日,465,Individual,Charles Albert Gobat,1843-05-21,Tramelan,Switzerland,Male,NA,NA,NA,1914/3/16,Bern,Switzerland,47.2167,7.0833,59
1902,Physics,The Nobel Prize in Physics 1902,"""in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena""",1月2日,2,Individual,Hendrik Antoon Lorentz,1853-07-18,Arnhem,Netherlands,Male,Leiden University,Leiden,Netherlands,1928/2/4,NA,Netherlands,51.9833,5.9167,49
1902,Physics,The Nobel Prize in Physics 1902,"""in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena""",1月2日,3,Individual,Pieter Zeeman,1865-05-25,Zonnemaire,Netherlands,Male,Amsterdam University,Amsterdam,Netherlands,1943/10/9,Amsterdam,Netherlands,51.7133,3.9422,37
1903,Chemistry,The Nobel Prize in Chemistry 1903,"""in recognition of the extraordinary services he has rendered to the advancement of chemistry by his electrolytic theory of dissociation""",1月1日,162,Individual,Svante August Arrhenius,1859-02-19,Vik,Sweden,Male,Stockholm University,Stockholm,Sweden,1927/10/2,Stockholm,Sweden,57.5014,18.1094,44
1903,Literature,The Nobel Prize in Literature 1903,"""as a tribute to his noble, magnificent and versatile poetry, which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit""",1月1日,572,Individual,Bjørnstjerne Martinus Bjørnson,1832-12-08,Kvikne,Norway,Male,NA,NA,NA,1910/4/26,Paris,France,62.2397,10.3412,71
1903,Medicine,The Nobel Prize in Physiology or Medicine 1903,"""in recognition of his contribution to the treatment of diseases, especially lupus vulgaris, with concentrated light radiation, whereby he has opened a new avenue for medical science""",1月1日,295,Individual,Niels Ryberg Finsen,1860-12-15,Thorshavn,Faroe Islands (Denmark),Male,Finsen Medical Light Institute,Copenhagen,Denmark,1904/9/24,Copenhagen,Denmark,62.0097,-6.7717,43
1903,Peace,The Nobel Peace Prize 1903,NA,1月1日,466,Individual,William Randal Cremer,1828-03-18,Fareham,United Kingdom,Male,NA,NA,NA,1908/7/22,London,United Kingdom,50.85,-1.18,75
1903,Physics,The Nobel Prize in Physics 1903,"""in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity""",1月2日,4,Individual,Antoine Henri Becquerel,1852-12-15,Paris,France,Male,École Polytechnique,Paris,France,1908/8/25,NA,France,48.8567,2.3522,51
1903,Physics,The Nobel Prize in Physics 1903,"""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel""",1月4日,5,Individual,Pierre Curie,1859-05-15,Paris,France,Male,École municipale de physique et de chimie industrielles (Municipal School of Industrial Physics and Chemistry),Paris,France,1906/4/19,Paris,France,48.8567,2.3522,44
1903,Physics,The Nobel Prize in Physics 1903,"""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel""",1月4日,6,Individual,"Marie Curie, née Sklodowska",1867-11-07,Warsaw,Russian Empire (Poland),Female,NA,NA,NA,1934/7/4,Sallanches,France,52.23,21.0111,36
1904,Chemistry,The Nobel Prize in Chemistry 1904,"""in recognition of his services in the discovery of the inert gaseous elements in air, and his determination of their place in the periodic system""",1月1日,163,Individual,Sir William Ramsay,1852-10-02,Glasgow,United Kingdom,Male,University College,London,United Kingdom,1916/7/23,High Wycombe,United Kingdom,55.8611,-4.25,52
1904,Literature,The Nobel Prize in Literature 1904,"""in recognition of the fresh originality and true inspiration of his poetic production, which faithfully reflects the natural scenery and native spirit of his people, and, in addition, his significant work as a Proven&ccedil;al philologist""",1月2日,573,Individual,Frédéric Mistral,1830-09-08,Maillane,France,Male,NA,NA,NA,1914/3/25,Maillane,France,43.8347,4.8317,74
1904,Literature,The Nobel Prize in Literature 1904,"""in recognition of the numerous and brilliant compositions which, in an individual and original manner, have revived the great traditions of the Spanish drama""",1月2日,574,Individual,José Echegaray y Eizaguirre,1832-04-19,Madrid,Spain,Male,NA,NA,NA,1916/9/4,Madrid,Spain,40.4169,-3.7033,72
1904,Medicine,The Nobel Prize in Physiology or Medicine 1904,"""in recognition of his work on the physiology of digestion, through which knowledge on vital aspects of the subject has been transformed and enlarged""",1月1日,296,Individual,Ivan Petrovich Pavlov,1849-09-14,Ryazan,Russia,Male,Military Medical Academy,St. Petersburg,Russia,1936/2/27,Leningrad,Russia,54.63,39.7425,55
1904,Peace,The Nobel Peace Prize 1904,NA,1月1日,467,Organization,Institut de droit international (Institute of International Law),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1904,Physics,The Nobel Prize in Physics 1904,"""for his investigations of the densities of the most important gases and for his discovery of argon in connection with these studies""",1月1日,8,Individual,Lord Rayleigh (John William Strutt),1842-11-12,"Langford Grove, Maldon, Essex",United Kingdom,Male,Royal Institution of Great Britain,London,United Kingdom,1919/6/30,NA,United Kingdom,51.7317,0.675,62
1905,Chemistry,The Nobel Prize in Chemistry 1905,"""in recognition of his services in the advancement of organic chemistry and the chemical industry, through his work on organic dyes and hydroaromatic compounds""",1月1日,164,Individual,Johann Friedrich Wilhelm Adolf von Baeyer,1835-10-31,Berlin,Prussia (Germany),Male,Munich University,Munich,Germany,1917/8/20,Starnberg,Germany,52.52,13.405,70
1905,Literature,The Nobel Prize in Literature 1905,"""because of his outstanding merits as an epic writer""",1月1日,575,Individual,Henryk Sienkiewicz,1846-05-05,Wola Okrzejska,Poland,Male,NA,NA,NA,1916/11/15,Vevey,Switzerland,51.5856,22.2347,59
1905,Medicine,The Nobel Prize in Physiology or Medicine 1905,"""for his investigations and discoveries in relation to tuberculosis""",1月1日,297,Individual,Robert Koch,1843-12-11,Clausthal (Clausthal-Zellerfeld),Germany,Male,Institute for Infectious Diseases,Berlin,Germany,1910/5/27,Baden-Baden,Germany,51.8089,10.3356,62
1905,Peace,The Nobel Peace Prize 1905,NA,1月1日,468,Individual,"Baroness Bertha Sophie Felicita von Suttner, née Countess Kinsky von Chinic und Tettau",1843-06-09,Prague,Austrian Empire (Czech Republic),Female,NA,NA,NA,1914/6/21,Vienna,Austria,50.0755,14.4378,62
